0.0237711f,0.431095f,-0.0581529f
0.0314696f,0.431126f,-0.0586219f
0.039148f,0.431219f,-0.0600466f
0.0468315f,0.431307f,-0.0607697f
0.0545039f,0.431451f,-0.0629323f
0.0621922f,0.431554f,-0.0639689f
0.0698838f,0.431662f,-0.065352f
0.0775735f,0.431812f,-0.067607f
0.0852531f,0.432112f,-0.0709775f
0.0929583f,0.432312f,-0.0746206f
0.100664f,0.432708f,-0.0794199f
0.108396f,0.433005f,-0.0850428f
0.116146f,0.433393f,-0.0913222f
0.123931f,0.434033f,-0.100402f
0.131737f,0.434433f,-0.109579f
0.139611f,0.43522f,-0.120955f
0.147529f,0.435966f,-0.131693f
-0.173535f,0.426322f,-0.129689f
-0.18267f,0.427283f,-0.148274f
-0.1646f,0.425467f,-0.114567f
-0.156004f,0.424843f,-0.102205f
-0.147655f,0.424391f,-0.0918725f
-0.13929f,0.423896f,-0.0822856f
-0.131092f,0.423519f,-0.0746363f
-0.122983f,0.423199f,-0.0684867f
-0.114914f,0.422893f,-0.0630011f
-0.106951f,0.422671f,-0.0581903f
-0.0991067f,0.422554f,-0.0547292f
-0.0912499f,0.422412f,-0.0517351f
-0.0834901f,0.422365f,-0.0501179f
-0.0756983f,0.422273f,-0.0483187f
-0.0680039f,0.422289f,-0.0472133f
-0.0603324f,0.422333f,-0.0472217f
-0.0526125f,0.422312f,-0.0471499f
-0.0449992f,0.422436f,-0.0474995f
-0.0373259f,0.422479f,-0.0476115f
-0.0295974f,0.422436f,-0.0475089f
-0.0219534f,0.422523f,-0.0480593f
-0.0143115f,0.422619f,-0.048467f
-0.00664397f,0.422675f,-0.0492113f
0.00103214f,0.422715f,-0.0495961f
0.00865348f,0.422873f,-0.050872f
0.0163527f,0.42287f,-0.0512452f
0.0240129f,0.422957f,-0.0515693f
0.0316593f,0.423091f,-0.0523604f
0.0393567f,0.423089f,-0.0528661f
0.0470246f,0.423178f,-0.0537482f
0.0546716f,0.423361f,-0.0550756f
0.0623585f,0.423409f,-0.0565265f
0.0700172f,0.423609f,-0.058084f
0.0776953f,0.423756f,-0.0607445f
0.0853755f,0.423945f,-0.0632768f
0.0930644f,0.424153f,-0.0664627f
0.100761f,0.424442f,-0.0712722f
0.108472f,0.424834f,-0.076925f
0.116209f,0.42524f,-0.0831531f
0.123965f,0.425558f,-0.0905304f
0.131766f,0.426164f,-0.0991341f
0.13961f,0.426808f,-0.109468f
0.147484f,0.427376f,-0.121287f
0.155465f,0.428318f,-0.134394f
-0.181469f,0.41857f,-0.133337f
-0.190412f,0.419329f,-0.147447f
-0.172506f,0.417752f,-0.11618f
-0.163777f,0.417069f,-0.102709f
-0.155286f,0.416535f,-0.091634f
-0.14692f,0.416071f,-0.0823213f
-0.138709f,0.415708f,-0.0738465f
-0.130469f,0.415295f,-0.0662663f
-0.122446f,0.415049f,-0.0606856f
-0.114468f,0.414827f,-0.0557101f
-0.106546f,0.414642f,-0.051442f
-0.0987021f,0.414518f,-0.0485911f
-0.0908938f,0.41442f,-0.0457003f
-0.0831077f,0.414335f,-0.0435513f
-0.0753577f,0.414281f,-0.0421364f
-0.067601f,0.414211f,-0.0409595f
-0.0600058f,0.414332f,-0.041077f
-0.0522839f,0.414296f,-0.0404434f
-0.0446575f,0.414382f,-0.0412447f
-0.0370051f,0.414436f,-0.0412795f
-0.0293065f,0.414421f,-0.0409275f
-0.0216967f,0.414542f,-0.0425353f
-0.0140535f,0.414616f,-0.0424995f
-0.00639475f,0.414666f,-0.0426171f
0.00126599f,0.414714f,-0.0433637f
0.00891124f,0.414794f,-0.043576f
0.0165593f,0.414876f,-0.0451068f
0.0242223f,0.414927f,-0.045595f
0.0318528f,0.415068f,-0.0460071f
0.0395305f,0.41509f,-0.0461717f
0.0471971f,0.415145f,-0.0474304f
0.0548347f,0.415312f,-0.0488235f
0.0625015f,0.415393f,-0.0497302f
0.070172f,0.415469f,-0.0512198f
0.0778195f,0.415705f,-0.053905f
0.0854897f,0.415871f,-0.0564913f
0.0931634f,0.4161f,-0.0600677f
0.100851f,0.416317f,-0.0641852f
0.108548f,0.416741f,-0.0694881f
0.11627f,0.417049f,-0.0757058f
0.124014f,0.417418f,-0.0821574f
0.131789f,0.417859f,-0.0900159f
0.139604f,0.418399f,-0.0998632f
0.147476f,0.419071f,-0.110541f
0.155395f,0.419755f,-0.122705f
0.163504f,0.429247f,-0.150276f
0.163384f,0.420543f,-0.138126f
-0.199728f,0.42031f,-0.166605f
-0.198635f,0.411707f,-0.151032f
-0.189411f,0.410808f,-0.134778f
-0.180247f,0.409902f,-0.117804f
-0.171554f,0.40929f,-0.104046f
-0.162985f,0.408735f,-0.0919753f
-0.154671f,0.408345f,-0.0826997f
-0.146337f,0.407912f,-0.0737529f
-0.138117f,0.407543f,-0.0661887f
-0.130032f,0.407264f,-0.0593813f
-0.122037f,0.407044f,-0.05411f
-0.113959f,0.406729f,-0.0485823f
-0.106162f,0.406655f,-0.0453423f
-0.0983269f,0.406535f,-0.0425744f
-0.0904721f,0.406383f,-0.0394524f
-0.0827554f,0.406362f,-0.0381028f
-0.0749901f,0.406282f,-0.0359887f
-0.0673017f,0.406281f,-0.0351578f
-0.0596144f,0.406276f,-0.0348838f
-0.0520104f,0.406372f,-0.0346125f
-0.044355f,0.406406f,-0.0351507f
-0.0366731f,0.406403f,-0.0348896f
-0.0290539f,0.406486f,-0.0351731f
-0.0214484f,0.406595f,-0.0364534f
-0.0137614f,0.406579f,-0.0365419f
-0.0061639f,0.406712f,-0.0368651f
0.00147628f,0.406778f,-0.0375341f
0.00916536f,0.40675f,-0.0375738f
0.0167417f,0.406955f,-0.0390183f
0.0244115f,0.406969f,-0.0394197f
0.0320877f,0.406961f,-0.0394051f
0.0397175f,0.407075f,-0.0396826f
0.0473599f,0.407167f,-0.0408391f
0.0550041f,0.407266f,-0.0418685f
0.0626521f,0.407367f,-0.0430927f
0.0703017f,0.407483f,-0.0450887f
0.0779449f,0.407671f,-0.0475167f
0.0856023f,0.407835f,-0.0497674f
0.0932679f,0.408009f,-0.0532674f
0.100935f,0.408344f,-0.0569825f
0.108625f,0.408561f,-0.0623755f
0.116332f,0.408923f,-0.0685336f
0.124068f,0.409397f,-0.0756112f
0.131829f,0.409784f,-0.0830221f
0.139625f,0.410244f,-0.0906702f
0.147466f,0.410791f,-0.101104f
0.155335f,0.411294f,-0.111452f
0.16331f,0.412092f,-0.125423f
0.171356f,0.412946f,-0.140936f
-0.197411f,0.403069f,-0.137008f
-0.206464f,0.403797f,-0.151701f
-0.188208f,0.4022f,-0.12072f
-0.179435f,0.401578f,-0.105269f
-0.170854f,0.401056f,-0.0933265f
-0.162329f,0.400542f,-0.0829476f
-0.153961f,0.400114f,-0.0738587f
-0.145727f,0.399761f,-0.0656204f
-0.13756f,0.399437f,-0.0585701f
-0.129495f,0.399174f,-0.05234f
-0.121548f,0.398991f,-0.0472633f
-0.113589f,0.398782f,-0.0423543f
-0.105737f,0.398653f,-0.0389872f
-0.097898f,0.398524f,-0.036036f
-0.0900938f,0.398415f,-0.0334422f
-0.0823357f,0.398342f,-0.0314158f
-0.0746446f,0.398331f,-0.0298368f
-0.0669695f,0.398333f,-0.0287071f
-0.0592559f,0.398287f,-0.0280344f
-0.0516331f,0.398342f,-0.0277972f
-0.044043f,0.398441f,-0.0285607f
-0.0364271f,0.398511f,-0.0294911f
-0.0287568f,0.398508f,-0.0292176f
-0.0211854f,0.398647f,-0.0301231f
-0.0135265f,0.398659f,-0.0307722f
-0.00591364f,0.398746f,-0.030935f
0.00171101f,0.398818f,-0.0318694f
0.00937585f,0.398817f,-0.0319777f
0.0170072f,0.398879f,-0.0324519f
0.0246207f,0.398985f,-0.0327108f
0.032282f,0.398986f,-0.032762f
0.0399128f,0.399062f,-0.0333313f
0.0475446f,0.399143f,-0.03396f
0.0551786f,0.399227f,-0.0352665f
0.062798f,0.399384f,-0.0369401f
0.0704285f,0.399532f,-0.0388116f
0.0780808f,0.3996f,-0.0406408f
0.0857129f,0.399836f,-0.0434616f
0.0933644f,0.400027f,-0.0465926f
0.101026f,0.40024f,-0.0502979f
0.1087f,0.400528f,-0.0556593f
0.116395f,0.400908f,-0.0616962f
0.124112f,0.401228f,-0.0686167f
0.131866f,0.401698f,-0.076131f
0.139645f,0.402116f,-0.0835663f
0.147454f,0.402542f,-0.0924894f
0.155322f,0.403102f,-0.102902f
0.163246f,0.40373f,-0.113966f
0.171262f,0.404518f,-0.128513f
0.179359f,0.405382f,-0.142628f
-0.205384f,0.395295f,-0.140322f
-0.19623f,0.394517f,-0.123116f
-0.187291f,0.393835f,-0.108558f
-0.178645f,0.393308f,-0.0952014f
-0.170036f,0.392775f,-0.0835268f
-0.161647f,0.392363f,-0.0740454f
-0.153362f,0.392001f,-0.066036f
-0.145238f,0.391733f,-0.0584973f
-0.137073f,0.391415f,-0.0516813f
-0.129061f,0.391195f,-0.0459664f
-0.121094f,0.390995f,-0.0408924f
-0.113134f,0.390783f,-0.0364184f
-0.105296f,0.390662f,-0.0324419f
-0.0975226f,0.390586f,-0.029561f
-0.089728f,0.390482f,-0.0272935f
-0.0819667f,0.390399f,-0.0249442f
-0.0742828f,0.390385f,-0.0237167f
-0.0665942f,0.390361f,-0.0224059f
-0.0589675f,0.3904f,-0.0219163f
-0.0513388f,0.390437f,-0.0222629f
-0.0437018f,0.390463f,-0.0221169f
-0.0360897f,0.39052f,-0.0225584f
-0.0285086f,0.39062f,-0.023719f
-0.0208871f,0.39067f,-0.0243942f
-0.0132831f,0.390747f,-0.0247011f
-0.00566291f,0.390802f,-0.0255323f
0.00194039f,0.39089f,-0.0259278f
0.00956627f,0.390942f,-0.0262292f
0.017202f,0.390976f,-0.0264321f
0.0248428f,0.390998f,-0.026211f
0.032469f,0.391052f,-0.0261867f
0.040095f,0.391109f,-0.0272196f
0.0477193f,0.391175f,-0.0275922f
0.0553349f,0.391277f,-0.0286356f
0.062955f,0.391382f,-0.0305715f
0.0705722f,0.391523f,-0.0322316f
0.0781918f,0.391696f,-0.0344482f
0.0858292f,0.391819f,-0.0366908f
0.0934642f,0.392032f,-0.0397104f
0.101117f,0.392187f,-0.0433776f
0.108775f,0.392488f,-0.0479542f
0.116456f,0.392839f,-0.0548121f
0.124161f,0.393183f,-0.061169f
0.131896f,0.393578f,-0.068554f
0.139653f,0.39393f,-0.0761126f
0.147459f,0.394416f,-0.0845143f
0.155313f,0.394962f,-0.0942727f
0.163184f,0.395412f,-0.104662f
0.171158f,0.396102f,-0.117239f
0.179189f,0.396805f,-0.132316f
0.187361f,0.397742f,-0.148041f
-0.204361f,0.386875f,-0.128037f
-0.21364f,0.387668f,-0.145403f
-0.195251f,0.386143f,-0.111304f
-0.186476f,0.385576f,-0.0978505f
-0.177897f,0.385103f,-0.0864502f
-0.169403f,0.384656f,-0.0753333f
-0.161096f,0.384308f,-0.0664175f
-0.152866f,0.383989f,-0.0584462f
-0.144738f,0.383722f,-0.0518867f
